pg_id,title,author,year,fictionality,language,pages
6540,"The South Pole : an account of the Norwegian Antarctic expedition in the ""Fram,"" 1910-1912 / by Roald Amundsen ; translated from the Norwegian by A. G. Chater.","Amundsen, Roald, 1872-1928.",1976,0,eng,
21518,The glugs of Gosh / C. J. Dennis.,"Dennis, C. J. 1876-1938.",1993,1,eng,130.0
12702,The tale of Peter Rabbit.,"Potter, Beatrix, 1866-1943.",1972,1,eng,55.0
9005,"Following the equator; a journey around the world, by Mark Twain.","Twain, Mark, 1835-1910.",1971,0,eng,712.0
70144,Mes cahiers rouges au temps de la Commune / Maxime Vuillaume.,"Vuillaume, Maxime, 1844-1925.",1909,0,fre,442.0
9538,Some roundabout papers.,"Thackeray, William Makepeace, 1811-1863.",1908,0,eng,
9342,Falk / J. Conrad ; traduction et préface de G. Jean-Aubry.,"Conrad, Joseph, 1857-1924.",1934,1,fre,
47236,Studies of the Greek poets. First-second series / by John Addington Symonds.,"Symonds, John Addington, 1840-1893.",1879,0,eng,
49698,Through South America / by Harry Weston Van Dyke ; with introduction by John Barrett.,"Van Dyke, Harry Weston, b. 1872.",1912,0,eng,446.0
23093,"Princo Vanc', de Eleanor Putnam [pseud.] kaj Arlo Bates, LITT. D.; ilustrita de Frank Myrick; el la angla lingvo, laŭ permeso, epserantigis Herbert Harris.  Rekomendita de la Esperantista literatura asocio.","Bates, Leonora, 1856-1886.",1914,0,epo,
19574,Hans Andersen's fairy tales.,"Andersen, H. C. 1805-1875.",1886,0,eng,
10841,L'archéologie égyptienne / par G. Maspero.,"Maspero, G. 1846-1916.",1907,0,fre,336.0
24500,"Shakespeare's lost years in London 1586-1592, giving new light on the pre-sonnet period; showing the inception of relations between Shakespeare and the Earl of Southampton and displaying John Florio as Sir John Falstaff, by Arthur Acheson.","Acheson, Arthur, 1864-1930.",1920,0,eng,261.0
34032,Über die Picard'schen gruppen aus dem zahlkörper der dritten und der vierten einheitswurzel ...,"Bohler, Otto.",1905,0,ger,2.0
54186,Squire Arden / by Mrs. Oliphant.,"Oliphant, Mrs. 1828-1897.",1871,1,eng,
26287,The warden / by Anthony Trollope.,"Trollope, Anthony, 1815-1882.",1912,1,eng,255.0
67954,"The life of Clara Barton, by Percy H. Epler.","Epler, Percy H. 1872-",1935,0,eng,438.0
9429,A pair of blue eyes. A novel.,"Hardy, Thomas, 1840-1928.",1884,0,eng,
25387,Mathematical essays and recreations / by Hermann Schubert ; from the German by Thomas J. McCormack.,"Schubert, Hermann, 1848-1911.",1903,0,eng,149.0
5001,"Relativity,","Davis, Malcolm Purdy.",1944,0,eng,1.0
8617,"The captain of the Pole-star, and other tales. By A. Conan Doyle.","Doyle, Arthur Conan, 1859-1930.",1891,1,eng,304.0
42096,"The king of the mountains, by Edmond About. Tr. from the French by Mrs. C.A. Kingsbury.","About, Edmond, 1828-1885.",1897,1,eng,
13621,Selected poems of Jonathan Swift / edited with an introd. and commentary by James Reeves.,"Swift, Jonathan, 1667-1745.",1967,0,eng,146.0
47460,Practical skunk raising. A book of information concerning the raising of skunks for profit. By William Edwin Pratt.,"Pratt, William Edwin.",1915,0,eng,
21588,The reluctant dragon. Illustrated by Peggy Fortnum.,"Grahame, Kenneth, 1859-1932.",1959,0,eng,75.0
19517,"La avventure di Pinocchio, storia di un burattino; illustrata da Carlo Hiostri, incisioni di A. Bongini.","Collodi, Carlo, 1826-1890.",1912,0,ita,
